layer,points,mean,std,min,max,used
central_points,255,0.00010696960016534694,0.0010708049516202833,0.0,0.012080754412399308,0
central_points,535,5.499403798167783e-05,0.00028548846381413985,0.0,0.003989333349112056,1
central_points,20,0.003603071278474834,0.005023777668392019,0.0,0.01626804261126626,0
central_points,351,0.0003048891473700815,0.001459413889717189,0.0,0.01177313688412851,0
central_points,69,0.0011289379495369558,0.003424610331108115,0.0,0.019969140825928596,0
central_points,13,0.007313481813316462,0.013392798030435494,0.0,0.03330018010107155,0
central_points,109,0.0006286364306032976,0.002337293176852216,0.0,0.018563949179750572,0
central_points,87,0.0007549478123586373,0.0020427059276194987,0.0,0.011370536720579083,0
central_points,177,1.166554048947615e-05,9.538859264891915e-05,0.0,0.0009873806619316028,0
central_points,20,0.0027327308346608253,0.007692966219114965,0.0,0.035871900633807914,0
central_points,196,0.0006023800973957809,0.0033502371383899703,0.0,0.03217745463410489,0
central_points,365,1.5457335136068058e-05,0.00017780424783229496,0.0,0.0025543475134988114,1
central_points,80,0.001315010112057026,0.004793067221923047,0.0,0.02700977163098106,0
central_points,318,8.933536438632436e-06,9.319030823951233e-05,0.0,0.0011910330708815309,0
central_points,29,0.0009465580138522383,0.0010518982836111006,0.0,0.004267525836725922,0
central_points,88,0.0012054629667065974,0.003057483149433031,0.0,0.021249093485365272,0
central_points,104,0.0007104280537095856,0.003054172304637826,0.0,0.030259874664208083,0
central_points,55,0.00046575560244564745,0.001069307075643803,0.0,0.0057698069413015945,0
central_points,25,0.0018676126552269001,0.006976970169952329,0.0,0.035184312677377816,0
central_points,87,0.00012949745040659593,0.0005350136824324087,0.0,0.0029856623274633343,0
central_points,133,7.882192505138555e-05,0.000551337315181925,0.0,0.004857664842004894,0
central_points,101,7.753203691306398e-05,0.0004004596204003463,0.0,0.0029293619143735405,0
central_points,10,0.0013799986739043175,0.0024352124327439552,0.0,0.008391149807654158,0
central_points,15,0.001881176752840393,0.003953882953363516,0.0,0.013050109370109364,1
central_points,189,0.0008470002413508654,0.005111276800515608,0.0,0.04911837448130521,1
central_points,16,0.001376560466734072,0.002384058400824231,0.0,0.007805834443377685,0
central_points,45,0.001192445745566394,0.0017366901360750878,0.0,0.005994038206317848,0
central_points,84,0.0015656059264135772,0.003905435783729687,0.0,0.023102021129200956,0
central_points,68,0.000628193704426276,0.0014841788512189292,0.0,0.007257482337234042,0
central_points,28,0.0002362684051543122,0.0003424006606489572,0.0,0.0011719676464892561,0
central_points,45,0.00015124361103177416,0.00040762256664856445,0.0,0.00222970103890628,0
central_points,16,0.0003899529794125847,0.0009396111820498264,0.0,0.0035877872417136095,0
central_points,38,0.0020005117428857034,0.00804071746969668,0.0,0.03696423755367251,0
central_points,16,0.0005366115042657743,0.001336545000241323,0.0,0.004309656272881962,0
central_points,15,0.0010760895844793765,0.0022622067726187525,0.0,0.0065126853138800095,0
central_points,32,0.003878419130747286,0.0075032280235135945,0.0,0.02294856337339228,0
central_points,13,0.007188623588600868,0.015120210765329866,0.0,0.04227934100847028,0
central_points,21,0.0066951368717247705,0.010284966766386005,0.0,0.0404354271546326,0
central_points,25,0.0002718079674526477,0.0007273192844065029,0.0,0.0031883741138774707,0
central_points,13,0.00030230039662084085,0.00042707877471665656,0.0,0.0012741571159639656,0
central_points,12,0.0001731536088158729,0.0003124542212267281,0.0,0.0010840472495727595,0
central_points,87,3.0457105926793216e-05,0.00015686901589152921,0.0,0.0012437773346996028,0
central_points,61,0.00026341517578350887,0.0011768478141005623,0.0,0.006658343874035744,0
central_points,38,0.00019799755380828818,0.0006845325471866109,0.0,0.0028207225194587515,0
central_points,24,0.016174786140474386,0.028197793148112917,0.0,0.1010379348830337,0
central_points,28,0.00040805917070122134,0.0011982205139416681,0.0,0.0043672958214794055,0
central_points,27,9.454444323254779e-05,0.00027018899236518545,0.0,0.000995068450430417,0
central_points,10,0.0007774058997490099,0.0013162812175855272,0.0,0.004509306996603504,0
central_points,12,0.006197846558802529,0.011963839662349264,0.0,0.03767966801124005,0
central_points,10,0.0065890424720273745,0.010324374179637016,0.0,0.036059127941376154,0
central_points,13,0.0008439023005058267,0.0015208461939863183,0.0,0.005506600200401677,0
