file,template,cluster_id,how,direction,shift_z,total,inliers,inlier_ratio,rmse_inliers,rmse_all,max_z_diff,corr_xy,corr_xy_upper,corr_yz,max_corr,icp_rmse,icp_fitness,side_a,side_b,not_same_side,time,distance
Achszaehler2,0,9,ICP to_point,src=tem,0,344,188.0,0.5465116279069767,0.005854359747917254,0.01740999418608939,0.009039668180630456,0.11691326898427609,0.0762643131153169,0.7521880065727674,0.7521880065727674,0.013640696893428046,0.27901315789473685,,,,0.2507157325744629,0.02426302663122216
Achszaehler2,0,9,ICP to_plane,src=tem,0,346,148.0,0.4277456647398844,0.0056972305946530015,0.02530918589221072,0.0006192280395359503,0.17937742473127533,0.19783655251480553,0.7115393848116842,0.7695220154529405,0.013731636537852615,0.22394736842105264,,,,0.06878256797790527,0.05328487991732108
Achszaehler2,0,9,ICP to_point,src=pcl,0,341,213.0,0.624633431085044,0.005671231707734679,0.011737091515921214,0.024002064918955845,0.09224567984116451,0.4858600257783993,0.418015460348872,0.7949795171886395,0.00992826062679406,0.48875562218890556,,,,0.014345645904541016,
Achszaehler2,0,9,ICP to_plane,src=pcl,0,305,127.0,0.4163934426229508,0.006368281065870369,0.013857831896984084,0.01452166057419979,0.3714511031802061,0.27399918468137197,0.021907372508386005,0.47717693104899955,0.011200727923600887,0.40929535232383807,,,,0.0370028018951416,
Achszaehler2,0,9,ICP to_point,src=tem,0.03,340,232.0,0.6823529411764706,0.0054982928777942254,0.014434136526404344,0.0032508902434015066,0.0539437639490261,0.5345930219509166,0.14398649743487363,0.7436223770242203,0.013353164215095152,0.34348684210526315,,,,0.06920075416564941,0.006483375852788509
Achszaehler2,0,9,ICP to_plane,src=tem,0.03,342,250.0,0.7309941520467836,0.005077978231760503,0.016041553913626532,0.0015492704219916692,0.471524802608867,0.0689624061102311,0.03094664037553657,0.471524802608867,0.013223475604246736,0.3479605263157895,,,,0.06850147247314453,0.010159812762133043
Achszaehler2,0,9,ICP to_point,src=pcl,0.03,338,222.0,0.6568047337278107,0.005492408035050367,0.011991673619196147,0.015247818080794097,0.1706522216488439,0.6266593090112217,0.25737636852580065,0.8258322568340193,0.009331504717024134,0.487256371814093,,,,0.00979924201965332,
Achszaehler2,0,9,ICP to_plane,src=pcl,0.03,338,251.0,0.742603550295858,0.0047584132922166,0.014345081661650477,0.007956884646284912,0.5602875940995579,0.12603833428643063,0.0026540653724881486,0.5602875940995579,0.007756424318200833,0.46926536731634183,,,,0.03539729118347168,
Achszaehler2,1,9,ICP to_point,src=tem,0,341,142.0,0.41642228739002934,0.0063934759400941675,0.01985739755054204,0.03799665181095105,0.12186419964620372,0.5266867829696636,0.06731229668082936,0.7052900795502816,0.013705230559089154,0.2958573784006595,,,,0.3267221450805664,0.04320932577365902
Achszaehler2,1,9,ICP to_plane,src=tem,0,346,146.0,0.42196531791907516,0.00567527166145968,0.025081955438052365,0.0007562429623847039,0.06217645989027494,0.23796273410829627,0.6490348892910753,0.7519921647370662,0.013739037510903617,0.2868233031052487,,,,0.12570714950561523,0.051018756915887205
Achszaehler2,1,9,ICP to_point,src=pcl,0,342,212.0,0.6198830409356725,0.0057759790082706425,0.011889062805950147,0.028000746725728498,0.11442466045163613,0.4510675276821537,0.48255568757343253,0.7926660529652891,0.009876369234741236,0.487256371814093,,,,0.0247037410736084,
Achszaehler2,1,9,ICP to_plane,src=pcl,0,0,0,0,0,0,0,0.5241591211684601,0.04900733880867775,0.23038708424024684,0.5241591211684601,0.0,0.0,,,,0.08003807067871094,
Achszaehler2,1,9,ICP to_point,src=tem,0.03,339,225.0,0.6637168141592921,0.0053433174910484755,0.01401525386092016,0.00013886223048101276,0.037182877490470875,0.6037221483885028,0.11778652614973123,0.7832799778279105,0.01322926279547648,0.382522671063479,,,,0.11992764472961426,0.006414028886768156
Achszaehler2,1,9,ICP to_plane,src=tem,0.03,337,230.0,0.6824925816023739,0.005240230377524507,0.014504616174856553,0.0011843966172483192,0.18302214787879717,0.5162042653515808,0.004566451625418872,0.6626284989222899,0.013065805658256179,0.3832440230832646,,,,0.10542941093444824,0.040238325252730654
Achszaehler2,1,9,ICP to_point,src=pcl,0.03,337,218.0,0.6468842729970327,0.005396133222220182,0.01197441588640213,0.015123234879698445,0.20247920407941755,0.6462422129847244,0.26356643561905624,0.8342616669055728,0.009220723679959662,0.48875562218890556,,,,0.01891160011291504,
Achszaehler2,1,9,ICP to_plane,src=pcl,0.03,0,0,0,0,0,0,0.06954244657992316,0.64251158027976,0.6607936068302438,0.7132697054673778,0.0,0.0,,,,0.08342432975769043,
Achszaehler2,2,9,ICP to_point,src=tem,0,340,136.0,0.4,0.006121823237219375,0.0197117482414237,0.03688289193521087,0.13105898721970594,0.5942207951424678,0.055553461345803835,0.6884608747868012,0.013349742963187732,0.45640802092414995,,,,0.09434914588928223,0.04334629531513209
Achszaehler2,2,9,ICP to_plane,src=tem,0,344,154.0,0.4476744186046512,0.006487239096216367,0.01940561091434845,0.03658155346202609,0.4774079801054616,0.059507526214740286,0.04247667617794015,0.4774079801054616,0.01311721745066164,0.47702702702702704,,,,0.10415983200073242,0.050842583491724526
Achszaehler2,2,9,ICP to_point,src=pcl,0,338,175.0,0.5177514792899408,0.005745674820997423,0.01303705743780793,0.03324342379963408,0.010648965954541146,0.2840311449093442,0.5384610354036455,0.7450067136996422,0.010643446556186893,0.44677661169415295,,,,0.020936012268066406,
Achszaehler2,2,9,ICP to_plane,src=pcl,0,327,149.0,0.45565749235474007,0.006426711946461167,0.014066781347547403,0.016011216029083633,0.7850969675476668,0.7111636022569051,0.028882212310228472,0.7850969675476668,0.011528460916245134,0.41529235382308843,,,,0.06555676460266113,
Achszaehler2,2,9,ICP to_point,src=tem,0.03,339,218.0,0.6430678466076696,0.005270376186386552,0.012817800894257441,0.0006359132737227755,0.11088409229799955,0.6384662112970378,0.2008513774319901,0.8116072289767648,0.013111490272948896,0.45387968613775065,,,,0.09113597869873047,0.004386190256933146
Achszaehler2,2,9,ICP to_plane,src=tem,0.03,332,205.0,0.6174698795180723,0.005398194924438519,0.01213164272103539,0.009497133188159708,0.21704906923914838,0.6693530389554322,0.21486126888806967,0.8394840460418367,0.013250620160324593,0.4420226678291194,,,,0.09698915481567383,0.08382068089459778
Achszaehler2,2,9,ICP to_point,src=pcl,0.03,339,225.0,0.6637168141592921,0.00545784041027056,0.012320904710032077,0.015140029543828003,0.0831259975846658,0.5292268390639894,0.329968737618223,0.8033666656804896,0.010097448339204831,0.46776611694152925,,,,0.021221399307250977,
Achszaehler2,2,9,ICP to_plane,src=pcl,0.03,328,249.0,0.7591463414634146,0.0050129697973193225,0.012737250507633054,0.0033316896560980913,0.44471334846766825,0.02911327622734461,0.13664267451183426,0.44471334846766825,0.00885146410777352,0.4572713643178411,,,,0.07305669784545898,
Achszaehler3,,10,My,None,0,349,221.0,0.6332378223495702,0.004215286273057547,0.01792334509118832,0.0020321967007999597,7.159167680835003e-16,0.004541323259704254,2.6145686021538718e-17,0.392411521705939,,,-0.9856115107913669,-0.9856115107913669,0,0.0012698173522949219,
Achszaehler3,0,10,ICP to_point,src=tem,0,348,155.0,0.4454022988505747,0.006417993545260171,0.019280817438794017,0.04111677347374475,0.1407371067475517,0.17689441362968233,0.0017996026728130685,0.46349059870117376,0.013475829135171079,0.21730263157894736,,,,0.05524635314941406,0.04798296579897886
Achszaehler3,0,10,ICP to_plane,src=tem,0,350,144.0,0.4114285714285714,0.006095279419817417,0.022059921979624364,0.04197920273681493,0.3620233230354967,0.44709492744670587,0.044364486450475554,0.44709492744670587,0.013447203334638294,0.20960526315789474,,,,0.07132291793823242,0.052596415243075754
Achszaehler3,0,10,ICP to_point,src=pcl,0,351,156.0,0.4444444444444444,0.006404151250208,0.015333754050323976,0.033269492240133806,0.2391936836985298,0.2831409389898784,0.08753060393277068,0.510025744333012,0.010762191281607448,0.43219076005961254,,,,0.007482290267944336,
